PacmanPos, 6, 1, Ghost0Pos, 10, 1, Ghost1Pos, 18, 8, Ghost2Pos, 3, 4, Ghost3Pos, 13, 9, 
PacmanPos, 6, 1, Ghost0Pos, 9, 1, Ghost1Pos, 18, 9, Ghost2Pos, 3, 5, Ghost3Pos, 13, 8, 
PacmanPos, 7, 1, Ghost0Pos, 8, 1, Ghost1Pos, 18, 10, Ghost2Pos, 3, 6, Ghost3Pos, 13, 7, 
PacmanPos, 6, 1, Ghost0Pos, 7, 1, Ghost1Pos, 18, 11, Ghost2Pos, 3, 7, Ghost3Pos, 13, 6, 
PacmanPos, 9, 1, Ghost0Pos, 8, 7, Ghost1Pos, 9, 7, Ghost2Pos, 10, 7, Ghost3Pos, 11, 7, 
PacmanPos, 8, 1, Ghost0Pos, 9, 7, Ghost1Pos, 8, 7, Ghost2Pos, 9, 7, Ghost3Pos, 10, 7, 
PacmanPos, 7, 1, Ghost0Pos, 10, 7, Ghost1Pos, 7, 7, Ghost2Pos, 9, 8, Ghost3Pos, 9, 7, 
PacmanPos, 6, 1, Ghost0Pos, 10, 8, Ghost1Pos, 6, 7, Ghost2Pos, 10, 8, Ghost3Pos, 8, 7, 
PacmanPos, 6, 1, Ghost0Pos, 10, 9, Ghost1Pos, 5, 7, Ghost2Pos, 10, 7, Ghost3Pos, 7, 7, 
PacmanPos, 6, 1, Ghost0Pos, 9, 9, Ghost1Pos, 5, 6, Ghost2Pos, 9, 7, Ghost3Pos, 6, 7, 
PacmanPos, 6, 1, Ghost0Pos, 9, 10, Ghost1Pos, 4, 6, Ghost2Pos, 8, 7, Ghost3Pos, 6, 6, 
PacmanPos, 6, 1, Ghost0Pos, 10, 10, Ghost1Pos, 3, 6, Ghost2Pos, 7, 7, Ghost3Pos, 5, 6, 
PacmanPos, 6, 1, Ghost0Pos, 10, 11, Ghost1Pos, 3, 5, Ghost2Pos, 6, 7, Ghost3Pos, 4, 6, 
PacmanPos, 6, 1, Ghost0Pos, 9, 11, Ghost1Pos, 3, 4, Ghost2Pos, 6, 8, Ghost3Pos, 4, 7, 
PacmanPos, 6, 1, Ghost0Pos, 9, 10, Ghost1Pos, 4, 4, Ghost2Pos, 6, 9, Ghost3Pos, 5, 7, 
PacmanPos, 6, 1, Ghost0Pos, 9, 9, Ghost1Pos, 5, 4, Ghost2Pos, 7, 9, Ghost3Pos, 6, 7, 
PacmanPos, 6, 1, Ghost0Pos, 10, 9, Ghost1Pos, 6, 4, Ghost2Pos, 6, 9, Ghost3Pos, 6, 6, 
PacmanPos, 6, 1, Ghost0Pos, 10, 10, Ghost1Pos, 6, 5, Ghost2Pos, 5, 9, Ghost3Pos, 6, 5, 
PacmanPos, 6, 1, Ghost0Pos, 10, 11, Ghost1Pos, 5, 5, Ghost2Pos, 4, 9, Ghost3Pos, 6, 4, 
PacmanPos, 6, 1, Ghost0Pos, 9, 11, Ghost1Pos, 5, 4, Ghost2Pos, 3, 9, Ghost3Pos, 5, 4, 
PacmanPos, 6, 1, Ghost0Pos, 9, 10, Ghost1Pos, 4, 4, Ghost2Pos, 3, 8, Ghost3Pos, 5, 3, 
PacmanPos, 6, 1, Ghost0Pos, 9, 9, Ghost1Pos, 3, 4, Ghost2Pos, 3, 7, Ghost3Pos, 4, 3, 
PacmanPos, 6, 1, Ghost0Pos, 9, 8, Ghost1Pos, 3, 3, Ghost2Pos, 3, 6, Ghost3Pos, 4, 4, 
PacmanPos, 6, 1, Ghost0Pos, 9, 7, Ghost1Pos, 4, 3, Ghost2Pos, 3, 5, Ghost3Pos, 3, 4, 
PacmanPos, 6, 1, Ghost0Pos, 8, 7, Ghost1Pos, 4, 2, Ghost2Pos, 3, 4, Ghost3Pos, 3, 5, 
